Store Number,Annual Revenue,Annual Operational Costs,Median Income,Format
1214,230400,103900,75400,Drive-thru
1215,242500,103900,72500,Drive-thru
1216,187400,103900,61800,Drive-thru
1217,253500,103900,84300,Drive-thru
1218,205300,103900,74600,Drive-thru
1219,225900,103900,78300,Drive-thru
1220,206200,103900,69900,Drive-thru
1221,219200,104000,63100,Drive-thru
1222,268300,103900,85600,Drive-thru
1223,237400,103900,76800,Drive-thru
1224,248400,103900,70400,Drive-thru
1225,309700,103900,91300,Drive-thru
1226,231300,103900,72100,Drive-thru
1227,210000,103900,73300,Drive-thru
1228,271100,103900,81200,Drive-thru
1229,227500,103900,71300,Drive-thru
1230,235200,103900,62800,Drive-thru
1231,195800,103900,72100,Drive-thru
1232,219900,103900,67500,Drive-thru
1233,211700,103900,74600,Drive-thru
1234,220000,103900,62500,Drive-thru
1235,223700,104000,69600,Drive-thru
1236,185800,103900,72000,Drive-thru
1237,142100,103900,43000,Drive-thru
1238,243700,103900,69200,Drive-thru
1239,235700,103900,76500,Drive-thru
1240,183300,103900,62800,Drive-thru
1241,221500,103900,61700,Drive-thru
1242,231600,103900,75600,Drive-thru
1243,291400,103900,82900,Drive-thru
1244,179700,103900,52100,Drive-thru
1245,252300,104000,82200,Drive-thru
1246,165300,103900,60000,Drive-thru
1247,204400,104000,56800,Drive-thru
1248,219100,104000,79600,Drive-thru
1249,234700,103900,67800,Drive-thru
1250,251700,103900,81000,Drive-thru
1251,225900,103900,72700,Drive-thru
1252,209600,103900,66800,Drive-thru
1253,230600,104000,70600,Drive-thru
1254,237400,103900,74000,Drive-thru
1255,315500,103900,82700,Drive-thru
1256,257600,103900,59000,Drive-thru
1257,196800,103900,55200,Drive-thru
1258,158800,103900,64500,Drive-thru
1259,230700,103900,66800,Drive-thru
1260,224100,103900,65000,Drive-thru
1261,228800,103900,71700,Drive-thru
1262,232000,104000,73100,Drive-thru
1263,211800,103900,67900,Drive-thru
1264,191000,103900,61500,Drive-thru
1265,263100,103900,81000,Drive-thru
1266,240000,103900,79700,Drive-thru
1267,169200,103900,69500,Drive-thru
1268,201600,104000,70500,Drive-thru
1269,267000,103900,81900,Drive-thru
1270,242400,103900,81800,Drive-thru
1271,235200,103900,64600,Drive-thru
1272,255300,104000,76700,Drive-thru
1273,196800,103900,66400,Drive-thru
1274,202700,103900,73400,Drive-thru
1275,208000,103900,72400,Drive-thru
1276,216800,103900,66900,Drive-thru
1277,258700,103900,77800,Drive-thru
1278,203100,103900,76800,Drive-thru
1279,188800,103900,52300,Drive-thru
1280,226900,104000,65800,Drive-thru
1281,241400,103900,67800,Drive-thru
1282,255100,103900,78800,Drive-thru
1283,208300,103900,61800,Drive-thru
1284,226300,103900,67600,Drive-thru
1285,209700,104000,65100,Drive-thru
1286,211400,103900,72000,Drive-thru
1287,163300,103900,45100,Drive-thru
1288,288500,103900,70600,Drive-thru
1289,264000,103900,81800,Drive-thru
1290,198300,103900,59000,Drive-thru
1291,190100,103900,55500,Drive-thru
1292,207500,103900,58400,Drive-thru
1293,229100,103900,80900,Drive-thru
1294,287200,103900,77800,Drive-thru
1295,233100,103900,67300,Drive-thru
1296,230900,103900,78800,Drive-thru
1297,190000,103900,39300,Drive-thru
1298,286900,103900,79400,Drive-thru
1299,210300,103900,71200,Drive-thru
1300,241300,103900,78900,Drive-thru
1301,206700,103900,70000,Drive-thru
1302,248200,103900,77400,Drive-thru
1303,145700,103900,43800,Drive-thru
1304,208300,104000,61500,Drive-thru
1305,220300,103900,79600,Drive-thru
1306,220500,104000,71200,Drive-thru
1307,197300,103900,58600,Drive-thru
1308,246500,104000,75100,Drive-thru
1309,287000,103900,79800,Drive-thru
1310,228400,103900,59300,Drive-thru
1311,194300,103900,54600,Drive-thru
1312,186200,103900,66400,Drive-thru
1313,279500,103900,91500,Drive-thru
1314,227000,103900,77000,Drive-thru
1315,237200,103900,69900,Drive-thru
1316,210800,103900,63100,Drive-thru
1317,178900,103900,67400,Drive-thru
1318,233800,103900,77900,Drive-thru
1319,257600,103900,71000,Drive-thru
1320,226300,104000,70100,Drive-thru
1321,191600,103900,69300,Drive-thru
1322,226900,103900,61400,Drive-thru
1323,216900,103900,74200,Drive-thru
1324,166100,103900,54200,Drive-thru
1325,235000,103900,55800,Drive-thru
1326,204100,103900,68800,Drive-thru
1327,159500,103900,49300,Drive-thru
1328,187300,103900,60200,Drive-thru
1329,223300,103900,78000,Drive-thru
1330,219700,103900,66400,Drive-thru
1331,145900,103900,56500,Drive-thru
1332,233600,103900,72000,Drive-thru
1333,215300,103900,65700,Drive-thru
1334,242300,104000,67500,Drive-thru
1335,239400,103900,86700,Drive-thru
1336,289600,103900,89200,Drive-thru
1337,191700,103900,62400,Drive-thru
1338,248500,103900,70100,Drive-thru
1339,232500,103900,73500,Drive-thru
1340,236600,103900,61500,Drive-thru
1341,237200,104000,68000,Drive-thru
1342,269000,104000,83200,Drive-thru
1343,226200,103900,73000,Drive-thru
1344,228000,103900,74800,Drive-thru
1345,218300,104000,82300,Drive-thru
1346,240500,103900,70500,Drive-thru
1347,237100,104000,73700,Drive-thru
1348,265600,103900,79300,Drive-thru
1349,237600,103900,72000,Drive-thru
1350,217900,103900,53800,Drive-thru
1351,287300,103900,95400,Drive-thru
1352,177500,103900,61400,Drive-thru
1353,214900,103900,77800,Drive-thru
1354,162800,103900,49400,Drive-thru
1355,282500,103900,79700,Drive-thru
1356,240300,103900,74800,Drive-thru
1357,159300,104000,60300,Drive-thru
1358,197400,104000,70200,Drive-thru
1359,209100,103900,73400,Drive-thru
1360,218700,103900,59700,Drive-thru
1361,229000,103900,71000,Drive-thru
1362,218700,103900,64900,Drive-thru
1363,187500,103900,63500,Drive-thru
1364,200600,103900,70700,Drive-thru
1365,229300,103900,79400,Drive-thru
1366,253000,103900,80800,Drive-thru
1367,226600,103900,66300,Drive-thru
1368,229900,103900,79000,Drive-thru
1369,253500,104000,76800,Drive-thru
1370,221100,103900,74300,Drive-thru
1371,188000,103900,70800,Drive-thru
1372,229100,103900,74300,Drive-thru
1373,185300,104000,61100,Drive-thru
1374,199600,103900,63900,Drive-thru
1375,205700,103900,61500,Drive-thru
1376,215000,103900,53700,Drive-thru
1377,178100,103900,61200,Drive-thru
1378,279700,103900,85300,Drive-thru
1379,225400,103900,67400,Drive-thru
1380,257500,103900,65200,Drive-thru
1381,228100,103900,79300,Drive-thru
1382,261400,103900,71300,Drive-thru
1383,227600,104000,78300,Drive-thru
1384,246500,103900,70600,Drive-thru
1385,235700,103900,93500,Drive-thru
1386,238000,103900,70400,Drive-thru
1387,258500,103900,79400,Drive-thru
1388,241900,103900,67600,Drive-thru
1389,221200,103900,82000,Drive-thru
1390,243200,103900,72100,Drive-thru
1391,229400,103900,72400,Drive-thru
1392,195500,103900,55900,Drive-thru
1393,234100,103900,70200,Drive-thru
1394,243700,103900,79400,Drive-thru
1395,227400,103900,66400,Drive-thru
1396,164400,103900,55900,Drive-thru
1397,209300,103900,56400,Drive-thru
1398,244000,103900,67600,Drive-thru
1399,241300,103900,77600,Drive-thru
1400,217900,103900,71500,Drive-thru
1401,217200,104000,73900,Drive-thru
1402,239800,103900,81000,Drive-thru
1403,199100,104000,59600,Drive-thru
1404,188300,104000,55400,Drive-thru
1405,258000,103900,75300,Drive-thru
1406,228400,103900,66000,Drive-thru
1407,230800,103900,79800,Drive-thru
1408,240500,103900,61800,Drive-thru
1409,228100,103900,65500,Drive-thru
1410,192400,103900,64000,Drive-thru
1411,219800,103900,52400,Drive-thru
1412,242600,103900,86400,Drive-thru
1413,195100,103900,62800,Drive-thru
1414,132200,103900,48400,Drive-thru
1415,259300,103900,81100,Drive-thru
1416,216200,103900,66100,Drive-thru
1417,187800,103900,62200,Drive-thru
1418,231400,103900,71300,Drive-thru
1419,256300,103900,77000,Drive-thru
1420,189400,103900,55200,Drive-thru
1421,265000,103900,84300,Drive-thru
1422,218900,103900,61900,Drive-thru
1423,267000,103900,73500,Drive-thru
1424,194400,103900,68600,Drive-thru
1425,171500,103900,61300,Drive-thru
1426,212500,104000,63400,Drive-thru
1427,245100,103900,85300,Drive-thru
1428,227000,103900,71100,Drive-thru
1429,238000,103900,71300,Drive-thru
1430,216400,103900,67000,Drive-thru
1431,215800,103900,86300,Drive-thru
1432,271100,103900,76600,Drive-thru
1433,256300,103900,60500,Drive-thru
1434,224800,103900,71400,Drive-thru
1435,235400,103900,72500,Drive-thru
1436,155800,103900,50000,Drive-thru
1437,155100,103900,62800,Drive-thru
1438,237400,103900,75600,Drive-thru
1439,204700,103900,54500,Drive-thru
1440,197600,103900,75900,Drive-thru
1441,202200,103900,74700,Drive-thru
1442,230100,103900,56100,Drive-thru
1443,228200,103900,72200,Drive-thru
1444,232100,103900,81600,Drive-thru
1445,171300,103900,61400,Drive-thru
1446,204400,103900,63700,Drive-thru
1447,215400,103900,71400,Drive-thru
1448,213200,103900,65000,Drive-thru
1449,224500,103900,71600,Drive-thru
1450,186900,103900,61100,Drive-thru
1451,260800,103900,82300,Drive-thru
1452,235900,104000,57800,Drive-thru
1453,208300,103900,74400,Drive-thru
1454,197900,103900,65000,Drive-thru
1455,167400,103900,60700,Drive-thru
1456,239800,103900,84200,Drive-thru
1457,235600,103900,75000,Drive-thru
1458,250800,104000,74200,Drive-thru
1459,179500,103900,60600,Drive-thru
1460,195000,103900,62600,Drive-thru
1461,203600,103900,70300,Drive-thru
1462,264600,103900,75500,Drive-thru
1463,243100,103900,80500,Drive-thru
1464,168000,103900,54700,Drive-thru
1465,257700,103900,79400,Drive-thru
1466,235700,103900,73200,Drive-thru
1467,261300,103900,73300,Drive-thru
1468,259500,103900,70900,Drive-thru
1469,214700,103900,57700,Drive-thru
1470,236600,103900,79300,Drive-thru
1471,217500,104000,69100,Drive-thru
1472,215100,103900,73900,Drive-thru
1473,260400,103900,82700,Drive-thru
1474,230600,103900,77200,Drive-thru
1475,170300,103900,80100,Drive-thru
1476,225700,103900,58900,Drive-thru
1477,251200,103900,78700,Drive-thru
1478,199800,103900,55300,Drive-thru
1479,247000,103900,74500,Drive-thru
1480,210200,103900,64400,Drive-thru
1481,264600,103900,82200,Drive-thru
1482,248100,104000,86200,Drive-thru
1483,210600,103900,54900,Drive-thru
1484,278300,104000,76500,Drive-thru
1485,201900,103900,60600,Drive-thru
1486,170400,103900,49300,Drive-thru
1487,250800,103900,79300,Drive-thru
1488,259700,103900,81700,Drive-thru
1489,143600,103900,53600,Drive-thru
1490,224700,103900,71200,Drive-thru
1491,213100,103900,80500,Drive-thru
1492,287200,103900,96600,Drive-thru
1493,214900,103900,70000,Drive-thru
1494,239600,103900,83200,Drive-thru
1495,263600,103900,82400,Drive-thru
1496,263500,103900,80600,Drive-thru
1497,201400,103900,65100,Drive-thru
1498,213400,103900,67700,Drive-thru
1499,255500,103900,70000,Drive-thru
1500,230900,103900,81600,Drive-thru
1501,263100,103900,83700,Drive-thru
1502,267300,103900,80200,Drive-thru
1503,206500,103900,59200,Drive-thru
1504,237800,103900,84400,Drive-thru
1505,267500,103900,88600,Drive-thru
1506,206400,103900,59300,Drive-thru
1507,268200,103900,88300,Drive-thru
1508,213900,103900,71800,Drive-thru
1509,201100,103900,57600,Drive-thru
1510,204400,104000,62200,Drive-thru
1511,257100,103900,77600,Drive-thru
1512,217800,103900,63500,Drive-thru
1513,270400,103900,85000,Drive-thru
1514,284400,104000,97600,Drive-thru
1515,184400,103900,62400,Drive-thru
1516,277300,103900,82700,Drive-thru
1517,252600,104000,95500,Drive-thru
1518,264900,103900,79300,Drive-thru
1519,226000,103900,70000,Drive-thru
1520,160100,103900,60100,Drive-thru
1521,200800,103900,60100,Drive-thru
1522,220600,103900,64900,Drive-thru
1523,205800,104000,64800,Drive-thru
1524,251100,103900,85100,Drive-thru
1525,208700,103900,59400,Drive-thru
1526,186200,103900,64300,Drive-thru
1527,231900,103900,71300,Drive-thru
1528,225000,103900,62800,Drive-thru
1529,189500,103900,64400,Drive-thru
1530,210900,103900,66000,Drive-thru
1531,215400,103900,73900,Drive-thru
1532,209000,103900,61500,Drive-thru
1533,242900,104000,78200,Drive-thru
1534,218800,104000,67600,Drive-thru
1535,214800,104000,85900,Drive-thru
1536,203800,104000,63300,Drive-thru
1537,220400,103900,68900,Drive-thru
1538,231400,103900,72100,Drive-thru
1539,250300,103900,67600,Drive-thru
1540,222300,103900,61300,Drive-thru
1541,291200,103900,81400,Drive-thru
1542,179000,103900,57600,Drive-thru
1543,206100,103900,67700,Drive-thru
1544,248600,103900,69500,Drive-thru
1545,199900,103900,70600,Drive-thru
1546,261400,103900,85100,Drive-thru
1547,173600,103900,66000,Drive-thru
1548,179700,103900,53700,Drive-thru
1549,196200,103900,61200,Drive-thru
1550,233400,104000,73900,Drive-thru
1551,187800,103900,48500,Drive-thru
1552,257100,103900,85800,Drive-thru
1553,258800,103900,77100,Drive-thru
1554,273900,103900,83700,Drive-thru
1555,212700,104000,71800,Drive-thru
1556,219800,103900,63900,Drive-thru
1557,257500,103900,73900,Drive-thru
1558,232000,103900,66400,Drive-thru
1559,226800,103900,75000,Drive-thru
1560,221400,103900,67700,Drive-thru
1561,293600,104000,88400,Drive-thru
1562,179600,103900,62300,Drive-thru
1563,242500,103900,61500,Drive-thru
1564,299900,103900,84300,Drive-thru
1565,197000,103900,64800,Drive-thru
1566,222200,104000,77700,Drive-thru
1567,246000,103900,68900,Drive-thru
1568,186700,103900,69300,Drive-thru
1569,162700,103900,55800,Drive-thru
1570,215300,103900,79500,Drive-thru
1571,221100,103900,68800,Drive-thru
1572,245500,104000,73100,Drive-thru
1573,191000,103900,71600,Drive-thru
1574,176100,103900,55100,Drive-thru
1575,245800,103900,74700,Drive-thru
1576,215800,103900,73900,Drive-thru
1577,241800,103900,85500,Drive-thru
1578,203800,103900,69500,Drive-thru
1579,226800,104000,65100,Drive-thru
1580,239600,103900,71700,Drive-thru
1581,210600,103900,65300,Drive-thru
1582,240600,103900,85400,Drive-thru
1583,219600,104000,63900,Drive-thru
1584,242000,103900,72000,Drive-thru
1585,253300,103900,83800,Drive-thru
1586,290900,103900,80700,Drive-thru
1587,199400,103900,65500,Drive-thru
1588,267800,103900,78300,Drive-thru
1589,270800,103900,80100,Drive-thru
1590,235300,103900,82000,Drive-thru
1591,212900,103900,61500,Drive-thru
1592,251100,103900,76100,Drive-thru
1593,203100,103900,69000,Drive-thru
1594,222600,103900,61600,Drive-thru
1595,230800,103900,68900,Drive-thru
1596,223800,103900,67000,Drive-thru
1597,239100,103900,72500,Drive-thru
1598,211500,103900,61200,Drive-thru
1599,211800,103900,64800,Drive-thru
1600,264400,103900,74400,Drive-thru
1601,205700,104000,66400,Drive-thru
1602,217400,103900,57600,Drive-thru
1603,268200,103900,75300,Drive-thru
1604,160600,103900,59900,Drive-thru
1605,309000,104000,87500,Drive-thru
1606,172500,103900,50600,Drive-thru
1607,258000,103900,82200,Drive-thru
1608,202600,103900,53400,Drive-thru
1609,309700,103900,93300,Drive-thru
1610,189700,103900,56600,Drive-thru
1611,245000,103900,63500,Drive-thru
1612,193700,103900,62500,Drive-thru
1613,155500,103900,41900,Drive-thru
1614,218400,103900,68800,Drive-thru
1615,214400,103900,64000,Drive-thru
1616,184900,103900,64600,Drive-thru
1617,204700,103900,67800,Drive-thru
1618,241100,103900,72300,Drive-thru
1619,263300,103900,82100,Drive-thru
1620,192700,103900,56700,Drive-thru
1621,162500,103900,69400,Drive-thru
1622,184800,103900,62200,Drive-thru
1623,177200,103900,49900,Drive-thru
1624,198700,104000,56000,Drive-thru
1625,265700,103900,85000,Drive-thru
1626,248100,103900,84200,Drive-thru
1627,270300,103900,80100,Drive-thru
1628,176600,103900,52900,Drive-thru
1629,209800,103900,67400,Drive-thru
1630,259800,104000,68700,Drive-thru
1631,191300,103900,59200,Drive-thru
1632,249400,103900,78700,Drive-thru
1633,240200,103900,72200,Drive-thru
1634,261400,103900,76300,Drive-thru
1635,223500,104000,74300,Drive-thru
1636,167000,103900,55400,Drive-thru
1637,173400,103900,57000,Drive-thru
1638,180000,103900,54600,Drive-thru
1639,200000,103900,65900,Drive-thru
1640,229900,103900,67200,Drive-thru
1641,241300,103900,67400,Drive-thru
1642,256700,104000,82100,Drive-thru
1643,264300,103900,79000,Drive-thru
1644,163600,103900,53300,Drive-thru
1645,208900,103900,76600,Drive-thru
1646,228800,103900,81900,Drive-thru
1647,206000,103900,69300,Drive-thru
1648,157500,103900,59200,Drive-thru
1649,272800,103900,79400,Drive-thru
1650,237700,103900,63700,Drive-thru
1651,181900,104000,68800,Drive-thru
1652,222200,103900,67900,Drive-thru
1653,275400,103900,86200,Drive-thru
1654,216500,103900,70000,Drive-thru
1655,148100,103900,59300,Drive-thru
1656,221300,104000,66300,Drive-thru
1657,216200,103900,62700,Drive-thru
1658,190700,103900,56400,Drive-thru
1659,271900,103900,78300,Drive-thru
1660,169000,103900,55200,Drive-thru
1661,228200,103900,75600,Drive-thru
1662,181200,103900,54800,Drive-thru
1663,175800,103900,51600,Drive-thru
1664,219000,103900,74700,Drive-thru
1665,271900,103900,80800,Drive-thru
1666,242700,103900,68900,Drive-thru
1667,195300,103900,72400,Drive-thru
1668,225000,103900,71200,Drive-thru
1669,233900,103900,72600,Drive-thru
1670,258100,103900,75400,Drive-thru
1671,238200,103900,78900,Drive-thru
1672,212600,104000,61000,Drive-thru
1673,258200,103900,78500,Drive-thru
1674,208000,103900,73900,Drive-thru
1675,144100,103900,41300,Drive-thru
1676,205700,103900,77700,Drive-thru
1677,238700,103900,75000,Drive-thru
1678,207700,103900,69300,Drive-thru
1679,211300,103900,59900,Drive-thru
1680,238900,103900,57300,Drive-thru
1681,213200,103900,62800,Drive-thru
1682,214300,103900,73100,Drive-thru
1683,237200,103900,72600,Drive-thru
1684,267500,103900,77800,Drive-thru
1685,205700,103900,57000,Drive-thru
1686,277600,103900,83700,Drive-thru
1687,246300,103900,71500,Drive-thru
1688,225400,103900,68200,Drive-thru
1689,204300,103900,50000,Drive-thru
1690,265900,103900,78300,Drive-thru
1691,207600,103900,63300,Drive-thru
1692,209400,103900,59600,Drive-thru
1693,169000,103900,54600,Drive-thru
1694,219700,103900,82600,Drive-thru
1695,188000,103900,67300,Drive-thru
1696,175700,103900,66500,Drive-thru
1697,184000,103900,59700,Drive-thru
1698,221900,103900,59300,Drive-thru
1699,192500,103900,70700,Drive-thru
1700,235800,103900,63200,Drive-thru
1701,206200,103900,54100,Drive-thru
1702,221100,103900,57600,Drive-thru
1703,238700,103900,76900,Drive-thru
1704,281500,103900,79900,Drive-thru
1705,157600,103900,46200,Drive-thru
1706,297800,103900,93000,Drive-thru
1707,208400,103900,75100,Drive-thru
1708,197600,103900,67800,Drive-thru
1709,234700,103900,71000,Drive-thru
1710,217900,103900,80000,Drive-thru
1711,189400,103900,63300,Drive-thru
1712,324800,103900,94500,Drive-thru
1713,188600,103900,60600,Drive-thru
1714,251200,103900,78400,Drive-thru
1715,192300,103900,56200,Drive-thru
1716,223400,103900,68700,Drive-thru
1717,205500,103900,63600,Drive-thru
1718,258500,103900,83100,Drive-thru
1719,147500,104000,52700,Drive-thru
1720,187800,103900,59500,Drive-thru
1721,190200,103900,65400,Drive-thru
1722,247600,103900,83200,Drive-thru
1723,263000,103900,85700,Drive-thru
1724,206900,103900,58900,Drive-thru
1725,234400,103900,69600,Drive-thru
1726,196200,103900,72100,Drive-thru
1727,294100,103900,74800,Drive-thru
1728,240900,103900,70200,Drive-thru
1729,198400,103900,69900,Drive-thru
1730,255700,103900,84400,Drive-thru
1731,194500,103900,65100,Drive-thru
1732,239100,103900,69300,Drive-thru
